latitude,longitude,date,president_name,City,region,total_low,total_high,size,deaths
32.98793,69.640961,2-Oct-10,Obama,"Asar village, Datta Khel",North Waziristan,6,10,8.1,9
33.02824,70.239716,1-Jan-11,Obama,"Mandi Khel, near Mir Ali",North Waziristan,7,9,8.1,8
32.65065,70.185471,8-Feb-13,Obama,Babar Ghar,South Waziristan,7,9,8.1,8
32.09064163,69.45831295,6-Oct-14,Obama,Shawal,North Waziristan,8,8,8.1,8
33.00005289,69.92935177,26-Dec-14,Obama,Shawal Valley,North Waziristan,7,9,8.1,8
32.6169196,69.4999301,6-Jun-15,Obama,Shawal,North Waziristan,7,9,8.1,9
32.301064,69.598389,20-Aug-08,Bush,Wana,South Waziristan,5,10,7.6,10
32.994843,70.167618,9-Oct-08,Bush,"Tati, near Miram Shah",North Waziristan,6,9,7.6,8
32.97123,70.245895,24-Sep-09,Obama,Near Mir Ali,North Waziristan,3,12,7.6,5
32.978718,70.327606,24-Apr-10,Obama,"Machi Khel, 12 miles east of Miram Shah",North Waziristan,7,8,7.6,7
32.99081,70.304604,10-Oct-10,Obama,"Spin Wam refugee camp, outside Mir Ali",North Waziristan,7,8,7.6,7
32.994843,69.726791,28-Oct-10,Obama,"Ismail Khel, in Datta Khel",North Waziristan,4,11,7.6,5
32.6272,69.4453,27-Jun-11,Obama,Bray Nishtar,South Waziristan,3,12,7.6,7
33.036297,70.268555,24-May-12,Obama,Mir Ali,North Waziristan,5,10,7.6,5
32.306866,69.446465,3-Jun-12,Obama,Wacha Dana,South Waziristan,5,10,7.6,9
33.04090313,69.98291012,24-Sep-14,Obama,Datta Khel,North Waziristan,5,10,7.6,8
32.307446,69.56543,19-Jun-04,Bush,Wana,South Waziristan,7,7,7.1,7
32.992538,70.098953,2-Nov-07,Bush,Outside Miram Shah,North Waziristan,5,9,7.1,8
33.01442,70.061188,31-Aug-08,Bush,"Tappi, Miram Shah",North Waziristan,6,8,7.1,7
33.023632,70.074577,23-Oct-08,Bush,"Danda Darpa Khel, outside Miram Shah",North Waziristan,4,10,7.1,6
32.616241,69.848328,25-Mar-09,Obama,Makeen,South Waziristan,7,7,7.1,7
32.582691,69.849014,5-Aug-09,Obama,Zangra village of Ladha,South Waziristan,2,12,7.1,10
32.989082,70.328293,30-Sep-09,Obama,"Norak, 12 miles east of Miram Shah",North Waziristan,5,9,7.1,6
32.992538,69.654007,13-Oct-10,Obama,"Inzarkas village, Datta Khel",North Waziristan,3,11,7.1,5
33.804256,70.736847,16-Dec-10,Obama,Spin Drand area of the Tirah Valley,Khyber,7,7,7.1,7
33.790562,70.823364,17-Dec-10,Obama,"Sandana, Tirah Valley",Khyber,7,7,7.1,7
33.1347,70.1649,11-Mar-11,Obama,Ghorski,North Waziristan,4,10,7.1,5
32.874973,69.614868,13-Mar-12,Obama,Tehsil Bermal,North Waziristan,6,8,7.1,7
32.713356,69.608688,1-Jul-12,Obama,Dre Nishtar Village,North Waziristan,6,8,7.1,8
33.005783,70.246178,29-Jul-12,Obama,Khushhali Turikhel,North Waziristan,7,7,7.1,7
32.62555094,69.49607846,7-Jun-13,Obama,Mangroti,North Waziristan,7,7,7.1,7
33.01575629,70.01943108,28-Jul-13,Obama,"Shinkai Narai, Shawal",North Waziristan,6,8,7.1,7
32.31673,69.384155,11-Dec-08,Bush,Azam Warzak,South Waziristan,6,7,6.6,6
32.995995,69.682159,21-Mar-10,Obama,Lowari Mandi area of Datta Khel,North Waziristan,5,8,6.6,6
32.46806,69.300385,21-Sep-10,Obama,"Khund, South Waziristan border with Afghanistan",South Waziristan,6,7,6.6,7
32.984188,69.696922,8-Oct-10,Obama,"Charkhel, in Datta Khel",North Waziristan,4,9,6.6,6
33.027664,69.741898,11-Nov-10,Obama,"Gulli Khel village, Ghulam Khan, 8 miles from Miram Shah",North Waziristan,6,7,6.6,7
32.962585,70.276794,21-Nov-10,Obama,"Khaddi, 10 miles east of Miram Shah",North Waziristan,4,9,6.6,5
33.029388,69.916992,28-Dec-10,Obama,"Ghulam Khan, 20 km north of Miram Shah",North Waziristan,5,8,6.6,6
33.040901,70.19989,21-Feb-11,Obama,"Spalga village, 12 miles south of Miram Shah",North Waziristan,5,8,6.6,8
32.306866,69.56543,15-Jun-11,Obama,Wana,South Waziristan,3,10,6.6,8
32.996284,70.074921,15-Nov-11,Obama,Miranshah,North Waziristan,6,7,6.6,6
32.5418,69.4455,28-May-12,Obama,Datta Khel,North Waziristan,5,8,6.6,7
33.010967,69.831848,21-Aug-12,Obama,"Shanakhora, 12 miles west of Miram Shah",North Waziristan,4,9,6.6,6
33.01620273,69.97398373,22-Sep-13,Obama,Shawal,North Waziristan,6,7,6.6,6
32.94195895,69.803009,7-Oct-14,Obama,Datta Khel,North Waziristan,6,7,6.6,6
33.00178048,69.94239804,4-Jan-15,Obama,Datta Khel,North Waziristan,5,8,6.6,7
32.75205508,69.57916256,29-Jan-15,Obama,"Shawal Valley, North Waziristan",North Waziristan,6,7,6.6,6
32.500496,69.283905,17-Sep-08,Bush,"Baghar Cheena region, 55km west of Wana",South Waziristan,5,7,6.1,6
32.520184,69.783783,29-Apr-09,Obama,"Kaniguram, near Wana",South Waziristan,6,6,6.1,6
32.288876,69.608688,18-Jun-09,Obama,"Shah Alam, Birmal, near Wana",South Waziristan,1,11,6.1,6
32.509182,69.798889,27-Aug-09,Obama,Tapar Ghai areain the Kanigram district,South Waziristan,4,8,6.1,5
32.997723,70.041962,29-Sep-09,Obama,Danda Darpakhel,North Waziristan,5,7,6.1,6
32.976414,69.728165,2-Feb-10,Obama,"Deegan, 18 miles west of Miram Shah",North Waziristan,4,8,6.1,6
32.983898,69.751511,4-Sep-10,Obama,Datta Khel,North Waziristan,4,8,6.1,5
32.344002,69.66568,21-Sep-10,Obama,"Azam Warsak, 6 miles NW of Wana",South Waziristan,5,7,6.1,7
32.970654,70.293961,15-Oct-10,Obama,Aziz Khel,North Waziristan,6,6,6.1,6
32.976414,69.733658,18-Oct-10,Obama,Sanzali area of Datta Khel,North Waziristan,5,7,6.1,7
33.037449,69.906006,31-Dec-10,Obama,"Ghulam Khan, 15km NW of Miram Shah",North Waziristan,4,8,6.1,8
32.691399,69.846954,23-Jan-11,Obama,"Mando Khel, 60km south of Miram Shah near Razmak",North Waziristan,6,6,6.1,6
32.313831,69.422607,20-Feb-11,Obama,"Kaza Panga village, 10 miles west of Wana",South Waziristan,4,8,6.1,8
32.976414,69.719238,13-Jan-12,Obama,New Aadda (outside Miranshah),North Waziristan,4,8,6.1,8
31.840233,70.037842,9-Mar-12,Obama,Nishpa,South Waziristan,6,6,6.1,6
32.583851,69.483032,13-Mar-12,Obama,Uthghalai,South Waziristan,5,7,6.1,6
32.71711,69.616043,24-Aug-12,Obama,Darray Nashtar,North Waziristan,6,6,6.1,6
33.24281527,70.22186276,6-Sep-13,Obama,"Dargah Mandi, Ghulam Khan",North Waziristan,6,6,6.1,6
33.01711136,70.06818291,1-Nov-13,Obama,"Dande Darpa Khel, Miran Shah",North Waziristan,5,7,6.1,7
33.0792263,69.91836544,10-Jul-14,Obama,Datta Khel,North Waziristan,6,6,6.1,6
32.90611606,69.74464413,11-Nov-14,Obama,Datta Khel,North Waziristan,6,6,6.1,6
32.90676122,69.75133892,20-Nov-14,Obama,Mada Khel,North Waziristan,6,6,6.1,6
31.88016221,69.30587765,15-Jan-15,Obama,Tehsil Ladha,South Waziristan,6,6,6.1,6
32.326595,69.521484,30-Aug-08,Bush,Korzai region near Wana,South Waziristan,5,6,5.6,5
33.016724,69.848328,4-Sep-08,Bush,Char Khel,North Waziristan,4,7,5.6,7
32.995419,70.31662,7-Sep-09,Obama,"Machi Khel, near Mir Ali",North Waziristan,4,7,5.6,7
32.493546,70.023422,29-Sep-09,Obama,Sararogha,South Waziristan,5,6,5.6,6
32.98505,69.739151,18-Dec-09,Obama,"Babrak Ziarat, near Wazgai village of Datta Khel Tehsil",North Waziristan,3,8,5.6,8
33.003483,70.015182,8-Jan-10,Obama,"Tapi Village, near Miram Shah",North Waziristan,3,8,5.6,8
33.027664,70.069427,25-Jul-10,Obama,"Tabbi Tolkhel, 4 km north of Miram Shah",North Waziristan,4,7,5.6,7
33.0047,70.0675,4-Sep-10,Obama,near Miramshah,North Waziristan,5,6,5.6,6
33.008663,69.76181,15-Sep-10,Obama,Payekhel village of Dattakhel district,North Waziristan,4,7,5.6,7
32.97382,70.312157,1-Nov-10,Obama,"Hyder Khel, near Mir Ali",North Waziristan,5,6,5.6,6
33.094994,70.276794,11-Mar-11,Obama,"Spinwam village, Khaisor, 30 miles north of Miram Shah",North Waziristan,5,6,5.6,5
32.986778,69.697266,12-May-11,Obama,Datta Khel,North Waziristan,3,8,5.6,6
32.992538,70.221863,23-May-11,Obama,"Machikhel, Mir Ali",North Waziristan,4,7,5.6,7
32.6126,69.5078,12-Jul-11,Obama,"Bray Nishtar, Shawal area",North Waziristan,3,8,5.6,8
32.3649,69.3029,17-Nov-11,Obama,Shawal,North Waziristan,4,7,5.6,7
33.001755,70.073547,9-Feb-12,Obama,Miranshah,North Waziristan,3,8,5.6,8
33.043205,70.188904,16-Feb-12,Obama,Spalga,North Waziristan,5,6,5.6,6
32.713932,69.612122,19-Aug-12,Obama,Mana,North Waziristan,4,7,5.6,7
32.71711,69.616043,24-Aug-12,Obama,Darray Nashtar,North Waziristan,5,6,5.6,6
32.71711,69.616043,24-Aug-12,Obama,Darray Nashtar,North Waziristan,5,6,5.6,6
32.905102,69.752785,24-Sep-12,Obama,Datta Khel,North Waziristan,5,6,5.6,6
33.00034982,70.06736752,29-May-13,Obama,Miranshah,North Waziristan,4,7,5.6,6
33.04090313,69.98428341,6-Aug-14,Obama,Datta Khel,North Waziristan,5,6,5.6,5
32.26332983,69.45281979,30-Oct-14,Obama,Wana,South Waziristan,4,7,5.6,5
32.905929,69.748292,6-Aug-15,Obama,Datta Khel,North Waziristan,4,7,5.6,5
32.9056139,69.7482919,1-Sep-15,Obama,Datta Khel,North Waziristan,5,6,5.6,5
32.09686,70.2657,1-Dec-05,Bush,Patasi Adda,North Waziristan,5,5,5.1,5
32.288296,69.439774,28-Jul-08,Bush,Zeralita in the Azam Warsak region,South Waziristan,4,6,5.1,6
32.799973,70.489655,19-Nov-08,Bush,Jani Khel,Khyber Pakhtunkhwa,5,5,5.1,5
32.981308,70.067368,22-Nov-08,Bush,Ali Khel region just outside of Miram Shah,North Waziristan,5,5,5.1,6
32.334141,69.568176,18-Jun-09,Obama,"Raghzai area, near Wana",South Waziristan,1,9,5.1,8
32.592525,69.599075,3-Jul-09,Obama,Mantoi area,South Waziristan,0,10,5.1,10
32.959129,70.287094,14-Sep-09,Obama,"Toori Khel, near Mir Ali",North Waziristan,4,6,5.1,6
33.005783,70.090027,8-Mar-10,Obama,Maley Khan Sirai area of Miram Shah,North Waziristan,5,5,5.1,5
32.985626,70.054321,23-Mar-10,Obama,"Machis, outskirts of Miram Shah",North Waziristan,4,6,5.1,6
32.997147,70.302887,31-Mar-10,Obama,"Tapi Village, 13 miles east of Miram Shah",North Waziristan,4,6,5.1,5
32.998299,70.119553,16-Apr-10,Obama,"Toorkhel, suburbs of Miram Shah",North Waziristan,4,6,5.1,5
32.972958,70.350952,26-Apr-10,Obama,"Khushali Toorkhel, 15 miles east of Miram Shah",North Waziristan,4,6,5.1,5
32.983898,70.059128,21-Aug-10,Obama,"Kutabkhel village, 3 km south of Miram Shah",North Waziristan,4,6,5.1,5
33.0155,70.056,23-Aug-10,Obama,Derga Mandy,North Waziristan,5,5,5.1,5
32.995419,70.015182,8-Sep-10,Obama,Dargha Mandi at Ghulam Khan Road area,North Waziristan,4,6,5.1,5
33.008087,70.061874,9-Sep-10,Obama,Outskirts of Miram Shah,North Waziristan,4,6,5.1,5
32.986202,69.685593,12-Sep-10,Obama,Datta Khel,North Waziristan,4,6,5.1,5
32.979294,69.664307,26-Sep-10,Obama,"Tarmanu Road, 31 miles west of Miram Shah",North Waziristan,5,5,5.1,5
32.98217,69.627914,7-Nov-10,Obama,"Moizer town, Datta Khel",North Waziristan,4,6,5.1,6
32.97094,70.349403,22-Nov-10,Obama,"Khushali, 15 miles east of Miram Shah",North Waziristan,4,6,5.1,6
